
 PRINT EPTO NODAL SOLUTION PER NODE
 
  ***** POST1 NODAL TOTAL STRAIN LISTING *****                                 
  PowerGraphics Is Currently Enabled                                           
 
  LOAD STEP=     1  SUBSTEP=    20                                             
   TIME=    1.0000      LOAD CASE=   0                                         
  NODAL RESULTS ARE FOR MATERIAL   1                                           
 
  THE FOLLOWING X,Y,Z VALUES ARE IN GLOBAL COORDINATES                         
 
    NODE     EPTOX        EPTOY        EPTOZ        EPTOXY       EPTOYZ       EPTOXZ  
    6332  0.71793E-004-0.35363E-003 0.11890E-003 0.25647E-005  0.0000       0.0000     
    6333  0.73027E-004-0.35849E-003 0.11940E-003 0.25514E-005  0.0000       0.0000     
    6334  0.74264E-004-0.36332E-003 0.11990E-003 0.25372E-005  0.0000       0.0000     
    6335  0.75503E-004-0.36812E-003 0.12040E-003 0.25222E-005  0.0000       0.0000     
    6336  0.76745E-004-0.37291E-003 0.12090E-003 0.25065E-005  0.0000       0.0000     
    6337  0.77992E-004-0.37767E-003 0.12140E-003 0.24901E-005  0.0000       0.0000     
    6338  0.79244E-004-0.38241E-003 0.12189E-003 0.24732E-005  0.0000       0.0000     
    6339  0.80502E-004-0.38712E-003 0.12238E-003 0.24558E-005  0.0000       0.0000     
    6340  0.81765E-004-0.39182E-003 0.12286E-003 0.24380E-005  0.0000       0.0000     
    6341  0.83033E-004-0.39649E-003 0.12334E-003 0.24198E-005  0.0000       0.0000     
    6342  0.84307E-004-0.40113E-003 0.12382E-003 0.24012E-005  0.0000       0.0000     
    6343  0.85585E-004-0.40576E-003 0.12430E-003 0.23824E-005  0.0000       0.0000     
    6344  0.86867E-004-0.41035E-003 0.12477E-003 0.23634E-005  0.0000       0.0000     
    6345  0.88153E-004-0.41492E-003 0.12523E-003 0.23442E-005  0.0000       0.0000     
    6346  0.89442E-004-0.41947E-003 0.12569E-003 0.23249E-005  0.0000       0.0000     
    6347  0.90732E-004-0.42398E-003 0.12615E-003 0.23054E-005  0.0000       0.0000     
    6348  0.92022E-004-0.42846E-003 0.12660E-003 0.22858E-005  0.0000       0.0000     
    6349  0.93312E-004-0.43291E-003 0.12705E-003 0.22662E-005  0.0000       0.0000     
    6350  0.94600E-004-0.43732E-003 0.12749E-003 0.22464E-005  0.0000       0.0000     
    6351  0.95885E-004-0.44170E-003 0.12793E-003 0.22267E-005  0.0000       0.0000     
    6352  0.97165E-004-0.44604E-003 0.12836E-003 0.22068E-005  0.0000       0.0000     
    6353  0.98440E-004-0.45034E-003 0.12878E-003 0.21869E-005  0.0000       0.0000     
    6354  0.99708E-004-0.45460E-003 0.12920E-003 0.21669E-005  0.0000       0.0000     
    6355  0.10097E-003-0.45881E-003 0.12961E-003 0.21469E-005  0.0000       0.0000     
    6356  0.10222E-003-0.46298E-003 0.13002E-003 0.21268E-005  0.0000       0.0000     
    6357  0.10346E-003-0.46710E-003 0.13042E-003 0.21066E-005  0.0000       0.0000     
    6358  0.10468E-003-0.47118E-003 0.13082E-003 0.20863E-005  0.0000       0.0000     
    6359  0.10590E-003-0.47520E-003 0.13120E-003 0.20659E-005  0.0000       0.0000     
    6360  0.10710E-003-0.47917E-003 0.13158E-003 0.20453E-005  0.0000       0.0000     
    6361  0.10828E-003-0.48308E-003 0.13196E-003 0.20245E-005  0.0000       0.0000     
    6362  0.10945E-003-0.48694E-003 0.13232E-003 0.20036E-005  0.0000       0.0000     
    6363  0.11060E-003-0.49075E-003 0.13268E-003 0.19825E-005  0.0000       0.0000     
    6364  0.11173E-003-0.49449E-003 0.13304E-003 0.19611E-005  0.0000       0.0000     
    6365  0.11284E-003-0.49818E-003 0.13338E-003 0.19395E-005  0.0000       0.0000     
    6366  0.11393E-003-0.50181E-003 0.13372E-003 0.19176E-005  0.0000       0.0000     
    6367  0.11501E-003-0.50537E-003 0.13406E-003 0.18953E-005  0.0000       0.0000     
    6368  0.11606E-003-0.50888E-003 0.13438E-003 0.18728E-005  0.0000       0.0000     
    6369  0.11709E-003-0.51232E-003 0.13470E-003 0.18499E-005  0.0000       0.0000     
    6370  0.11810E-003-0.51570E-003 0.13501E-003 0.18267E-005  0.0000       0.0000     
    6371  0.11909E-003-0.51901E-003 0.13531E-003 0.18031E-005  0.0000       0.0000     
    6372  0.12005E-003-0.52226E-003 0.13561E-003 0.17791E-005  0.0000       0.0000     
    6373  0.12099E-003-0.52545E-003 0.13590E-003 0.17547E-005  0.0000       0.0000     
    6374  0.12191E-003-0.52857E-003 0.13619E-003 0.17298E-005  0.0000       0.0000     
    6375  0.12281E-003-0.53162E-003 0.13646E-003 0.17046E-005  0.0000       0.0000     
    6376  0.12368E-003-0.53461E-003 0.13673E-003 0.16788E-005  0.0000       0.0000     
    6377  0.12454E-003-0.53754E-003 0.13700E-003 0.16527E-005  0.0000       0.0000     
    6378  0.12536E-003-0.54040E-003 0.13725E-003 0.16261E-005  0.0000       0.0000     
    6379  0.12617E-003-0.54319E-003 0.13750E-003 0.15990E-005  0.0000       0.0000     
    6380  0.12696E-003-0.54592E-003 0.13775E-003 0.15715E-005  0.0000       0.0000     
    6381  0.12772E-003-0.54859E-003 0.13798E-003 0.15436E-005  0.0000       0.0000     
